run,bioproject,biosample,amikacin,ciprofloxacin,capreomycin,cycloserine,ethambutol,ethionamide,isoniazid,kanamycin,linezolid,moxifloxacin,ofloxacin,para-aminosalicylic_acid,rifampicin,rifabutin,streptomycin,pyrazinamide
ERR553027,PRJEB6273,SAMEA2535080,,,S,S,R,R,R,,,,S,,R,,R,S
ERR552635,PRJEB6273,SAMEA2534783,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR553348,PRJEB6273,SAMEA2535326,,,R,S,R,B,R,,S,,S,,R,,R,R
ERR551472,PRJEB6273,SAMEA2533967,,,S,S,R,R,R,,S,,S,,R,S,R,S
ERR551074,PRJEB6273,SAMEA2533678,,,S,S,S,R,R,,S,,S,R,R,,R,R
ERR2307364,PRJEB24099,SAMEA104600159,,,,,R,,R,,,,,,R,,R,R
ERR2307365,PRJEB24099,SAMEA104600160,S,,S,S,R,S,R,,S,S,S,S,R,,R,S
ERR552840,PRJEB6273,SAMEA2534944,S,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR552847,PRJEB6273,SAMEA2534949,,,S,S,S,R,R,,S,S,R,,R,,R,S
ERR2307367,PRJEB24099,SAMEA104600162,,,,,R,,R,,,,,,R,,R,S
ERR550625,PRJEB6273,SAMEA2533348,,,S,S,R,R,R,,S,,S,,R,,R,R
ERR2307370,PRJEB24099,SAMEA104600165,,,,,B,,R,,,,,,R,,R,
ERR2307371,PRJEB24099,SAMEA104600166,,,,,B,,R,,,,,,S,,R,
ERR2307372,PRJEB24099,SAMEA104600167,,,,,R,,R,,,,,,R,,R,
ERR2307373,PRJEB24099,SAMEA104600168,,,,,B,,R,,,,,,R,,R,
ERR2307374,PRJEB24099,SAMEA104600169,,,,,S,,R,,,,,,R,,R,
ERR2307375,PRJEB24099,SAMEA104600170,,,,,R,,R,,,,,,R,,R,
ERR2307376,PRJEB24099,SAMEA104600171,,,,,R,,R,,,,,,R,,R,
ERR552169,PRJEB6273,SAMEA2534459,S,,S,S,R,R,R,,S,S,S,S,R,R,R,R
ERR551017,PRJEB6273,SAMEA2533637,,,S,,S,S,R,,,,S,,R,,R,S
ERR2307377,PRJEB24099,SAMEA104600172,,,,,R,,R,,,,,,R,,R,R
ERR551339,PRJEB6273,SAMEA2533867,S,,S,S,R,S,R,,S,,S,S,R,R,R,S
ERR2307378,PRJEB24099,SAMEA104600173,R,,R,S,R,R,R,,,,S,S,R,,R,R
ERR2307379,PRJEB24099,SAMEA104600174,,,,,R,,R,,,,,,S,,R,R
ERR2307380,PRJEB24099,SAMEA104600175,S,,S,B,S,,S,,S,,S,S,R,,S,S
ERR2307381,PRJEB24099,SAMEA104600176,,,,,R,,R,,,,,,R,,R,R
ERR2307382,PRJEB24099,SAMEA104600177,,,,,R,,R,,,,,,R,,R,
ERR2307383,PRJEB24099,SAMEA104600178,,,,,R,,R,,,,,,R,,R,R
ERR2307384,PRJEB24099,SAMEA104600137,,,,,,,,,,,,,,,,
ERR553268,PRJEB6273,SAMEA2535264,,,S,S,R,R,R,,S,,S,,R,,R,S
ERR2307385,PRJEB24099,SAMEA104600179,,,,,,,,,,,,,,,,
ERR2307386,PRJEB24099,SAMEA104600180,,,,,R,,R,,,,,,R,,R,R
ERR2307387,PRJEB24099,SAMEA104600181,,,,,R,,R,,,,,,R,,R,S
ERR2307388,PRJEB24099,SAMEA104600182,,,,,R,,R,,,,,,R,,R,
ERR552255,PRJEB6273,SAMEA2534516,,,R,S,R,R,R,,S,,S,,R,,R,S
ERR2307390,PRJEB24099,SAMEA104600184,,,,,R,,R,,,,,,R,,R,R
ERR2307391,PRJEB24099,SAMEA104600185,,,,,R,,R,,,,,,R,,R,R
ERR551457,PRJEB6273,SAMEA2533956,,,R,S,R,S,R,,S,,S,,R,,R,S
ERR2307392,PRJEB24099,SAMEA104600138,,,,,,,,,,,,,,,,
ERR2307393,PRJEB24099,SAMEA104600186,,,,,R,,R,,,,,,R,,R,S
ERR551615,PRJEB6273,SAMEA2534071,S,,S,S,R,S,R,,,,S,,R,,R,S
ERR553351,PRJEB6273,SAMEA2535329,S,,S,S,S,,R,,S,,S,S,R,,R,S
ERR2307394,PRJEB24099,SAMEA104600187,,,,,R,,R,,,,,,R,,R,S
ERR2307395,PRJEB24099,SAMEA104600188,,,,,R,,R,,,,,,R,,R,S
ERR2307396,PRJEB24099,SAMEA104600189,,,,,R,,R,,,,,,R,,R,R
ERR2307397,PRJEB24099,SAMEA104600190,,,,,R,,R,,,,,,R,,R,R
ERR2307399,PRJEB24099,SAMEA104600192,,,,,R,,R,,,,,,R,,R,
ERR552048,PRJEB6273,SAMEA2534374,,,S,S,R,R,R,,S,,S,,R,,R,S
ERR2307401,PRJEB24099,SAMEA104600194,,,,,R,,R,,,,,,R,,R,S
ERR1353079,PRJEB9680,SAMEA3923306,,,,,R,,R,,,,,,R,,R,
ERR2307405,PRJEB24099,SAMEA104600197,,,,,R,,R,,,,,,R,,R,S
ERR2307406,PRJEB24099,SAMEA104600198,,,,,R,,R,,,,,,R,,R,R
ERR2307407,PRJEB24099,SAMEA104600199,,,,,R,,R,,,,,,R,,R,
ERR2307408,PRJEB24099,SAMEA104600200,,,,,R,,R,,,,,,R,,R,
ERR2307409,PRJEB24099,SAMEA104600139,,,,,R,,R,,,,,,R,,R,
ERR550843,PRJEB6273,SAMEA2533514,R,,S,S,S,S,R,,S,,S,S,R,R,R,S
ERR2307410,PRJEB24099,SAMEA104600201,,,,,R,,R,,,,,,R,,R,S
ERR553071,PRJEB6273,SAMEA2535116,R,,R,S,R,S,R,,S,,S,S,R,R,R,S
ERR2307411,PRJEB24099,SAMEA104600202,,,,,R,,R,,,,,,R,,R,
ERR2307412,PRJEB24099,SAMEA104600203,,,,,R,,R,,,,,,R,,R,S
ERR2307413,PRJEB24099,SAMEA104600204,,,,,R,,R,,,,,,R,,R,R
ERR2307414,PRJEB24099,SAMEA104600205,,,,,R,,R,,,,,,R,,R,S
ERR2307415,PRJEB24099,SAMEA104600206,,,,,R,,R,,,,,,R,,R,
ERR2307416,PRJEB24099,SAMEA104600207,,,,,S,,R,,,,,,S,,R,S
ERR2307417,PRJEB24099,SAMEA104600208,,,,,S,,R,,,,,,R,,R,
ERR2307418,PRJEB24099,SAMEA104600209,,,,,R,,R,,,,,,R,,R,
ERR2307419,PRJEB24099,SAMEA104600210,,,,,R,,R,,,,,,R,,R,
ERR2307420,PRJEB24099,SAMEA104600211,,,,,R,,R,,,,,,R,,R,
ERR2307421,PRJEB24099,SAMEA104600212,,,,,R,,R,,,,,,R,,R,
ERR551613,PRJEB6273,SAMEA2534069,S,,S,S,S,,R,,S,S,S,B,R,R,R,R
ERR2307423,PRJEB24099,SAMEA104600214,,,,,R,,R,,,,,,R,,R,R
ERR2307424,PRJEB24099,SAMEA104600215,,,,,R,,R,,,,,,R,,R,
ERR2307425,PRJEB24099,SAMEA104600216,,,,,,,R,,,,,,,,R,
ERR2307426,PRJEB24099,SAMEA104600217,,,,,R,,R,,,,,,R,,R,R
ERR2307427,PRJEB24099,SAMEA104600218,,,,,R,,R,,,,,,R,,R,S
ERR2307428,PRJEB24099,SAMEA104600219,,,,,S,,R,,,,,,R,,R,S
ERR2307430,PRJEB24099,SAMEA104600221,,,,,R,,R,,,,,,R,,R,R
ERR2307431,PRJEB24099,SAMEA104600222,,,,,S,,R,,,,,,R,,R,
ERR2307432,PRJEB24099,SAMEA104600223,,,,,R,,R,,,,,,R,,R,R
ERR2307433,PRJEB24099,SAMEA104600224,,,,,R,,R,,,,,,R,,R,S
ERR2307434,PRJEB24099,SAMEA104600225,,,,,R,,R,,,,,,R,,R,
ERR2307435,PRJEB24099,SAMEA104600226,S,,S,S,R,R,R,,S,,S,S,R,,R,R
ERR2307436,PRJEB24099,SAMEA104600227,,,,,R,,R,,,,,,R,,R,R
ERR2307437,PRJEB24099,SAMEA104600228,,,,,R,,R,,,,,,R,,R,R
ERR2307438,PRJEB24099,SAMEA104600229,,,,,R,,R,,,,,,R,,R,S
ERR2307439,PRJEB24099,SAMEA104600230,,,,,R,,R,,,,,,R,,R,
ERR2307440,PRJEB24099,SAMEA104600231,,,,,R,,R,,,,,,R,,R,R
ERR2307441,PRJEB24099,SAMEA104600232,,,,,,,R,,,,,,R,,R,
ERR2307442,PRJEB24099,SAMEA104600233,,,,,R,,R,,,,,,R,,R,S
ERR2307443,PRJEB24099,SAMEA104600234,,,,,R,,R,,,,,,R,,R,
ERR2307444,PRJEB24099,SAMEA104600235,,,,,R,,R,,,,,,R,,R,
ERR2307445,PRJEB24099,SAMEA104600236,,,,,S,,R,,,,,,R,,R,
ERR2307446,PRJEB24099,SAMEA104600237,,,,,R,,R,,,,,,R,,R,S
ERR2307447,PRJEB24099,SAMEA104600238,,,,,R,,R,,,,,,R,,R,S
ERR2307448,PRJEB24099,SAMEA104600239,,,,,R,,R,,,,,,R,,R,
ERR2307449,PRJEB24099,SAMEA104600240,,,,,R,,R,,,,,,R,,R,
ERR2307452,PRJEB24099,SAMEA104600242,,,,,R,,R,,,,,,R,,R,R
ERR553011,PRJEB6273,SAMEA2535069,,,,,S,,,,,,S,,R,,,
ERR552040,PRJEB6273,SAMEA2534369,,,S,S,R,S,R,,S,,S,,R,,R,R
ERR2307454,PRJEB24099,SAMEA104600244,,,,,R,,R,,,,,,R,,R,R
ERR2307455,PRJEB24099,SAMEA104600245,,,,,R,,R,,,,,,R,,R,R
ERR2307456,PRJEB24099,SAMEA104600246,,,,,R,,R,,,,,,R,,R,R
ERR551863,PRJEB6273,SAMEA2534249,S,,S,S,R,S,R,,S,S,S,S,R,R,R,S
ERR2307457,PRJEB24099,SAMEA104600247,,,,,R,,R,,,,,,R,,R,R
ERR2307458,PRJEB24099,SAMEA104600248,,,,,R,,R,,,,,,R,,R,R
ERR551740,PRJEB6273,SAMEA2534160,S,,S,S,R,S,R,,S,,S,S,R,R,R,S
ERR2307459,PRJEB24099,SAMEA104600249,,,,,S,,R,,,,,,S,,R,S
ERR2307460,PRJEB24099,SAMEA104600250,,,,,R,,R,,,,,,R,,R,S
ERR2307462,PRJEB24099,SAMEA104600252,,,,,,,R,,,,,,,,,
ERR2307463,PRJEB24099,SAMEA104600253,,,,,R,,R,,,,,,R,,R,R
ERR2307464,PRJEB24099,SAMEA104600254,,,,,S,,R,,,,,,S,,R,S
ERR2307465,PRJEB24099,SAMEA104600255,,,,,R,,R,,,,,,R,,R,R
ERR2307466,PRJEB24099,SAMEA104600256,,,,,R,,R,,,,,,R,,R,S
ERR2307467,PRJEB24099,SAMEA104600257,,,,,R,,R,,,,,,R,,R,S
ERR2307468,PRJEB24099,SAMEA104600258,,,,,S,,R,,,,,,S,,R,S
ERR550836,PRJEB6273,SAMEA2533508,,,,,R,,R,,,,,,R,,R,S
ERR2307471,PRJEB24099,SAMEA104600261,,,,,R,,R,,,,,,R,,R,R
ERR2307472,PRJEB24099,SAMEA104600262,,,,,R,,R,,,,,,R,,R,R
ERR2307473,PRJEB24099,SAMEA104600263,,,,,R,,R,,,,,,R,,R,R
ERR2307474,PRJEB24099,SAMEA104600264,,,,,S,,R,,,,,,S,,R,S
ERR2307475,PRJEB24099,SAMEA104600265,,,,,R,,R,,,,,,R,,R,R
ERR2307476,PRJEB24099,SAMEA104600266,,,,,R,,R,,,,,,R,,R,S
ERR2307477,PRJEB24099,SAMEA104600267,R,,R,S,R,R,R,,,,S,S,R,,R,S
ERR2307478,PRJEB24099,SAMEA104600268,,,,,R,,R,,,,,,R,,R,
ERR2307479,PRJEB24099,SAMEA104600269,,,,,R,,R,,,,,,R,,R,S
ERR552349,PRJEB6273,SAMEA2534585,,,S,,R,S,R,,S,,S,,R,,R,S
ERR2307483,PRJEB24099,SAMEA104600272,,,,,R,,R,,,,,,R,,R,
ERR2307484,PRJEB24099,SAMEA104600273,,,,,,,R,,,,,,,,,
ERR2307485,PRJEB24099,SAMEA104600274,,,,,R,,R,,,,,,R,,R,R
ERR2307486,PRJEB24099,SAMEA104600275,,,R,,R,,R,,,,S,,R,,R,S
ERR552387,PRJEB6273,SAMEA2534615,,,S,S,S,S,R,,,,S,,R,,R,S
ERR2307487,PRJEB24099,SAMEA104600276,,,R,,R,,R,,,,R,,R,,R,R
ERR551963,PRJEB6273,SAMEA2534319,,,S,S,S,S,R,,S,,S,,R,,R,S
ERR2307489,PRJEB24099,SAMEA104600278,,,,,R,,R,,,,,,S,,R,S
ERR2307490,PRJEB24099,SAMEA104600279,,,S,,R,,R,,,,S,,R,,R,R
ERR2307492,PRJEB24099,SAMEA104600281,,,,,R,,R,,,,,,R,,R,R
ERR2307493,PRJEB24099,SAMEA104600282,,,,,S,,R,,,,,,S,,R,
ERR551403,PRJEB6273,SAMEA2533918,S,,S,S,B,S,R,,S,,S,S,R,,R,S
ERR2307494,PRJEB24099,SAMEA104600283,,,,,R,,R,,,,,,R,,R,R
ERR2307495,PRJEB24099,SAMEA104600284,,,,,R,,R,,,,,,R,,R,R
ERR2307496,PRJEB24099,SAMEA104600285,,,,,R,,R,,,,,,R,,R,R
ERR2307636,PRJEB24099,SAMEA104600140,,,,,,,,,,,,,,,,
ERR2307498,PRJEB24099,SAMEA104600287,,,,,,,R,,,,,,,,R,
ERR2307499,PRJEB24099,SAMEA104600288,,,,,S,,R,,,,,,R,,R,
ERR2307500,PRJEB24099,SAMEA104600289,,,,,R,,R,,,,,,R,,R,R
ERR2307501,PRJEB24099,SAMEA104600290,,,,,R,,R,,,,,,R,,R,S
ERR551283,PRJEB6273,SAMEA2533833,,,S,S,S,S,R,,,,S,,R,,R,S
ERR2307502,PRJEB24099,SAMEA104600291,,,,,R,,R,,,,,,R,,R,
ERR2307503,PRJEB24099,SAMEA104600141,,,,,S,,R,,,,,,R,,R,
ERR2307504,PRJEB24099,SAMEA104600292,,,,,R,,R,,,,,,R,,R,S
ERR550727,PRJEB6273,SAMEA2533425,S,,S,S,R,S,R,,,,S,S,R,,R,R
ERR2307505,PRJEB24099,SAMEA104600293,,,,,R,,R,,,,,,R,,R,R
ERR2307506,PRJEB24099,SAMEA104600294,,,,,R,,R,,,,,,R,,R,R
ERR551972,PRJEB6273,SAMEA2534325,R,,R,S,R,S,R,,S,,S,S,R,,R,R
ERR2307507,PRJEB24099,SAMEA104600295,,,,,R,,R,,,,,,R,,R,R
ERR2307508,PRJEB24099,SAMEA104600296,,,,,R,,R,,,,,,R,,R,R
ERR2307510,PRJEB24099,SAMEA104600298,,,,,R,,R,,,,,,R,,R,S
ERR2307511,PRJEB24099,SAMEA104600299,,,,,R,,R,,,,,,R,,R,S
ERR2307512,PRJEB24099,SAMEA104600300,,,,,R,,R,,,,,,R,,R,R
ERR2307513,PRJEB24099,SAMEA104600301,,,,,R,,R,,,,,,R,,R,S
ERR553072,PRJEB6273,SAMEA2535117,,,S,S,R,S,R,,S,,S,,R,,R,R
ERR2307515,PRJEB24099,SAMEA104600303,,,,,S,,R,,,,,,S,,R,S
ERR2307516,PRJEB24099,SAMEA104600304,,,,,R,,R,,,,,,R,,R,S
ERR551453,PRJEB6273,SAMEA2533952,,S,S,,R,S,R,S,S,,S,R,R,,S,R
ERR2307518,PRJEB24099,SAMEA104600306,,,,,S,,R,,,,,,R,,R,
ERR550814,PRJEB6273,SAMEA2533490,,,S,S,R,S,R,,S,S,S,,R,,R,S
ERR2307521,PRJEB24099,SAMEA104600309,,,,,R,,R,,,,,,R,,R,R
ERR552664,PRJEB6273,SAMEA2534805,S,,S,S,S,S,R,,,,S,,R,,R,R
ERR2307523,PRJEB24099,SAMEA104600311,,,,,R,,R,,,,,,R,,R,R
ERR2307524,PRJEB24099,SAMEA104600312,,,,,R,,R,,,,,,R,,R,
ERR552453,PRJEB6273,SAMEA2534658,R,,R,S,R,R,R,,S,,S,S,R,R,R,R
ERR552395,PRJEB6273,SAMEA2534621,,,S,S,R,S,R,,S,S,S,,R,,R,R
ERR2307528,PRJEB24099,SAMEA104600316,,,,,S,,R,,,,,,R,,R,R
ERR2307529,PRJEB24099,SAMEA104600317,,,,,S,,R,,,,,,S,,R,S
ERR2307532,PRJEB24099,SAMEA104600319,,,,,R,,R,,,,,,R,,R,R
ERR2307533,PRJEB24099,SAMEA104600320,,,,,S,,R,,,,,,S,,R,R
ERR2307534,PRJEB24099,SAMEA104600321,,,,,S,,R,,,,,,S,,R,
ERR2307535,PRJEB24099,SAMEA104600322,,,,,R,,R,,,,,,R,,R,S
ERR551605,PRJEB6273,SAMEA2534062,S,,S,S,R,,R,,S,S,S,S,R,R,R,R
ERR552548,PRJEB6273,SAMEA2534725,,,S,S,R,R,R,,,,S,,R,,R,S
ERR2307536,PRJEB24099,SAMEA104600323,,,,,R,,R,,,,,,R,,R,S
ERR2307537,PRJEB24099,SAMEA104600324,,,,,R,,R,,,,,,R,,R,S
ERR2307538,PRJEB24099,SAMEA104600325,,,,,R,,R,,,,,,R,,R,S
ERR551450,PRJEB6273,SAMEA2533950,,R,S,,R,R,R,S,S,,S,R,S,,S,R
ERR2307539,PRJEB24099,SAMEA104600326,,,,,,,R,,,,,,,,R,
ERR551554,PRJEB7281,SAMEA2534023,,,,,R,,R,,,,,,R,,R,
ERR2307541,PRJEB24099,SAMEA104600328,,,,,R,,R,,,,,,R,,R,S
ERR2307542,PRJEB24099,SAMEA104600329,,,,,R,,R,,,,,,R,,R,
ERR550900,PRJEB6273,SAMEA2533551,S,,S,S,S,S,R,,,,S,R,R,,R,S
ERR553224,PRJEB6273,SAMEA2535223,,,S,S,R,R,R,,S,,S,,R,,R,R
ERR2307545,PRJEB24099,SAMEA104600331,,,,,R,,R,,,,,,R,,R,S
ERR2307546,PRJEB24099,SAMEA104600332,,,,,R,,R,,,,,,R,,R,R
ERR552222,PRJEB6273,SAMEA2534495,S,,S,S,,S,R,,S,R,R,S,R,,,
